Symbol,all Overall Sentiment,Instrument Name,Recent Sentiment Rising or Falling,all Volume of Mentions
SP500,good,S&P 500 Index,up,26887786
GME,good,GameStop Corp.,up,968065
INTC,good,Intel Corporation,down,802347
NWSA,good,News Corporation,down,717425
AAPL,good,Apple Inc.,up,660158
GOOG,good,Google Inc.,down,654340
FB,good,"Facebook, Inc.",down,622446
GS,good,"The Goldman Sachs Group, Inc.",up,618148
MCD,good,McDonald's Corp.,down,598898
TWTR,good,"Twitter, Inc.",up,577002
ZNGA,good,"Zynga, Inc.",up,560053
MGM,very good,MGM Resorts International,up,488159
JNJ,very good,Johnson and Johnson,down,477799
KO,very good,The Coca-Cola Company,down,444803
HD,very good,"The Home Depot, Inc.",down,444325
NOK,very good,Nokia Corporation,down,432307
SBUX,very good,Starbucks Corporation,up,423570
NFLX,good,"Netflix, Inc.",down,421713
KSS,good,Kohl's Corp.,down,418564
PFE,very good,Pfizer Inc.,up,361736
NKE,good,"Nike, Inc.",down,360990
TGT,good,Target Corp.,up,344830
SHLD,good,Sears Holdings Corporation,up,343876
URBN,poor,Urban Outfitters Inc.,down,329054
TXN,very good,Texas Instruments Inc.,up,315649
T,good,"ATT, Inc.",down,308579
SNE,very good,Sony Corporation,down,294714
VZ,good,Verizon Communications Inc.,down,265208
XOM,very good,Exxon Mobil Corporation,up,264671
JOY,good,"Joy Global, Inc.",up,250458
SCHW,very good,The Charles Schwab Corporation,down,248699
GM,good,General Motors Company,up,237480
AMZN,very good,Amazon.com Inc.,down,229229
SCHL,very good,Scholastic Corporation,down,228799
WMT,good,Wal-Mart Stores Inc.,down,225288
JCI,good,Johnson Controls Inc.,down,223774
ABBV,very good,AbbVie Inc.,up,208415
MCP,very good,"Molycorp, Inc.",up,199766
AFL,very good,AFLAC Inc.,down,196002
ABT,good,Abbott Laboratories,down,182371
AMD,very good,"Advanced Micro Devices, Inc.",up,179218
S,very good,Sprint Corporation,down,178468
M,good,"Macy's, Inc.",up,169075
AIG,good,"American International Group, Inc.",down,165431
AMAT,good,"Applied Materials, Inc.",down,161416
LOW,very good,Lowe's Companies Inc.,up,153146
CSX,good,CSX Corp.,down,151923
YHOO,good,Yahoo! Inc.,up,151651
MCO,good,Moody's Corporation,up,151535
AEO,good,"American Eagle Outfitters, Inc.",down,148414
ACN,very good,Accenture plc,up,146187
